Barabashov,47.33,291.25,120670.00,3396200.00,AA
Barnard,-61.06,61.59,121110.00,3396200.00,AA
Baro,-24.80,110.70,16930.00,3396200.00,AA
Barsukov,7.97,330.98,68450.00,3396200.00,AA
Bashkaus Valles,-25.68,356.74,246930.00,3396200.00,ME
Basin,17.82,107.00,15530.00,3396200.00,AA
[Bathys Planum],-42.66,254.00,626000.00,3396200.00,ME
Batoka,-7.55,323.35,14960.00,3396200.00,AA
Batoş,21.50,330.50,17330.00,3396200.00,AA
Baucau,-28.37,304.90,17940.00,3396200.00,AA
Baykonyr,46.41,132.68,3900.00,3396200.00,AA
Bazas,-27.78,93.38,16430.00,3396200.00,AA
Becquerel,21.89,352.06,165230.00,3396200.00,AA
Beer,-14.47,351.83,85500.00,3396200.00,AA
Beloha,-39.58,56.71,31740.00,3396200.00,AA
Beltra,18.01,102.40,7170.00,3396200.00,AA
Belyov,-45.02,201.99,200.00,3396200.00,AA
Belz,21.57,316.77,10210.00,3396200.00,AA
Bend,-22.40,332.26,3700.00,3396200.00,AA
Bentham,-55.78,319.45,11360.00,3396200.00,AA
Bentong,-22.31,340.96,10320.00,3396200.00,AA
Bernard,-23.24,205.79,128100.00,3396200.00,AA
Berseba,-4.40,322.40,36830.00,3396200.00,AA
Beruri,5.27,81.24,45120.00,3396200.00,AA
Betio,-23.13,281.35,32440.00,3396200.00,AA
Bhor,41.75,134.53,5730.00,3396200.00,AA
Bianchini,-63.85,264.71,70710.00,3396200.00,AA
Biblis Patera,2.36,236.18,53650.00,3396200.00,AA
Biblis Tholus,2.52,235.62,168600.00,3396200.00,AA
Bigbee,-24.78,325.25,20860.00,3396200.00,AA
Bira,25.10,314.46,2700.00,3396200.00,AA
Bise,20.22,303.17,9210.00,3396200.00,AA
Bison,-26.31,330.85,15280.00,3396200.00,AA
Bjerknes,-43.01,171.48,88640.00,3396200.00,AA
Bland,18.30,108.76,6630.00,3396200.00,AA
Bled,21.58,328.54,7690.00,3396200.00,AA
Blitta,-25.90,339.04,12950.00,3396200.00,AA
Blois,23.60,304.15,11580.00,3396200.00,AA
Bluff,23.47,110.03,6750.00,3396200.00,AA
Blunck,-27.23,323.10,66490.00,3396200.00,AA
Boeddicker,-14.82,162.49,107120.00,3396200.00,AA
Bogia,-44.31,83.27,37680.00,3396200.00,AA
Bogra,-24.16,331.20,21310.00,3396200.00,AA
Bok,20.58,328.40,7340.00,3396200.00,AA
Bole,25.35,306.01,8540.00,3396200.00,AA
Bombala,-27.60,106.13,37140.00,3396200.00,AA
Bond,-32.79,324.06,104690.00,3396200.00,AA
Bonestell,42.00,329.61,40670.00,3396200.00,AA
Boola,81.26,254.81,17250.00,3396200.00,AA
Bopolu,-2.96,353.70,18890.00,3396200.00,AA
Bor,18.17,326.32,4280.00,3396200.00,AA
Bordeaux,23.13,311.11,2010.00,3396200.00,AA
Boreales Scopuli,88.88,269.84,1130.00,3396200.00,AA
Boreosyrtis,54.68,70.00,0.00,3396200.00,AA
Boreum Cavus,84.64,339.85,62130.00,3396200.00,AA
Boru,-24.34,332.13,10870.00,3396200.00,AA
Bosporos Planum,-33.87,295.51,729580.00,3396200.00,ME
Bosporos Rupes,-42.74,302.45,531420.00,3396200.00,AA
Bouguer,-18.46,27.27,107780.00,3396200.00,AA
Boulia,-22.89,111.32,9990.00,3396200.00,AA
Bozkir,-44.14,327.82,79890.00,3396200.00,AA
Brashear,-53.81,240.97,77450.00,3396200.00,AA
